JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
Architectural Software Engineer,"Software Development, Architecture Design","AutoCAD, Revit",Git,"Creativity, Attention to Detail","Visual Studio, BIM 360"
BIM Architect,"BIM Management, Design","Revit, Navisworks",Git,"Collaboration, Problem-solving","AutoCAD, Microsoft Project"
CAD Architect,"CAD, Architectural Design","AutoCAD, SketchUp",Git,"Attention to Detail, Creativity","Revit, BIM 360"
Architectural Visualization Specialist,"Visualization, 3D Modeling","V-Ray, Lumion",Git,"Creativity, Communication","SketchUp, Adobe Suite"
3D Modeling Architect,"3D Modeling, Architectural Design","Revit, 3ds Max",Git,"Problem-solving, Teamwork","BIM 360, AutoCAD"
Architectural Software Developer,"Software Development, Programming","C#, Java",Git,"Creativity, Teamwork","Visual Studio, JIRA"
Revit Architect,"Revit, Architectural Design","Revit, Dynamo",Git,"Attention to Detail, Organization","BIM 360, AutoCAD"
Architectural Rendering Specialist,"Rendering, Visualization","V-Ray, KeyShot",Git,"Creativity, Communication","Photoshop, SketchUp"
Architectural Design Software Consultant,"Design, Software Solutions","AutoCAD, Revit",Git,"Analytical Skills, Negotiation","Microsoft Project, Power BI"
Architectural Simulation Engineer,"Simulation, Modeling","Navisworks, Revit",Git,"Problem-solving, Attention to Detail","BIM 360, AutoCAD"
Parametric Design Architect,"Parametric Design, Architecture","Grasshopper, Rhino",Git,"Creativity, Critical Thinking","AutoCAD, Revit"
Architectural Software Integration Specialist,"Software Integration, API Development","MS Project, Revit API",Git,"Analytical Skills, Teamwork","Visual Studio, Excel"
Architectural Technology Specialist,"Architectural Technology, Innovation","Revit, BIM 360",Git,"Creativity, Adaptability","AutoCAD, SketchUp"
Digital Architecture Engineer,"Digital Architecture, Design","Revit, Dynamo",Git,"Problem-solving, Initiative","BIM 360, AutoCAD"
Computational Design Architect,"Computational Design, Coding","Python, Grasshopper",Git,"Creativity, Analytical Skills","Revit, Rhino"
Virtual Reality Architect (Architecture),"Virtual Reality, 3D Modeling","Unity, Unreal Engine",Git,"Creativity, Communication","BIM 360, AutoCAD"
3D Visualization Engineer (Architecture),"3D Visualization, Modeling","Lumion, V-Ray",Git,"Creativity, Attention to Detail","SketchUp, Adobe Suite"
Architecture Software Product Manager,"Product Management, Software Development","Agile, Scrum",Git,"Leadership, Strategic Thinking","JIRA, Power BI"
Sustainable Design Software Architect,"Sustainable Design, Software Development","AutoCAD, Revit",Git,"Analytical Skills, Communication","SketchUp, BIM 360"
Architecture Software Trainer,"Training, Software Development","AutoCAD, Revit",Git,"Communication, Patience","PowerPoint, Excel"
Architectural Automation Engineer,"Automation, Software Development","Dynamo, Grasshopper",Git,"Problem-solving, Initiative","Revit, AutoCAD"
Generative Design Architect,"Generative Design, Software Development","Grasshopper, Rhino",Git,"Creativity, Analytical Skills","BIM 360, Revit"
Digital Twin Architect,"Digital Twin Technology, Modeling","Revit, Navisworks",Git,"Attention to Detail, Teamwork","AutoCAD, Power BI"
Architecture Information Systems Analyst,"Information Systems, Data Analysis","SQL, MS Access",Git,"Analytical Skills, Communication","Power BI, Excel"
Smart Building Architect,"Smart Building Technology, Design","Revit, BIM 360",Git,"Creativity, Problem-solving","AutoCAD, SketchUp"
Construction and Architecture Software Engineer,"Software Development, Architecture","C#, Revit API",Git,"Teamwork, Communication","Visual Studio, Excel"
Architectural Workflow Automation Specialist,"Workflow Automation, Software Solutions","Zapier, Revit",Git,"Problem-solving, Adaptability","BIM 360, AutoCAD"
Urban Planning Software Architect,"Urban Planning, Software Development","GIS, AutoCAD",Git,"Critical Thinking, Teamwork","Power BI, Excel"
Interior Design Software Specialist,"Interior Design, Software Development","AutoCAD, SketchUp",Git,"Creativity, Attention to Detail","Revit, Adobe Suite"
Augmented Reality Architect (Architecture),"Augmented Reality, 3D Modeling","Unity, ARKit",Git,"Creativity, Collaboration","BIM 360, AutoCAD"
Architectural Project Management Software Engineer,"Project Management, Software Development","Primavera P6, MS Project",Git,"Leadership, Organization","Excel, JIRA"
Digital Fabrication Architect,"Digital Fabrication, Design","CNC, Revit",Git,"Creativity, Technical Skills","AutoCAD, BIM 360"
Architectural Systems Integration Engineer,"Systems Integration, Engineering","Revit, Navisworks",Git,"Analytical Skills, Teamwork","Excel, Power BI"
Architecture Data Analyst,"Data Analysis, Architecture","R, Python",Git,"Attention to Detail, Communication","Tableau, Excel"
Virtual Building Architect,"Virtual Building Technology, Design","Revit, BIM 360",Git,"Problem-solving, Creativity","AutoCAD, SketchUp"
Sustainable Architecture Software Engineer,"Sustainable Design, Software Development","Revit, AutoCAD",Git,"Adaptability, Teamwork","Power BI, Excel"
Architecture CAD Specialist,"CAD, Architectural Design","AutoCAD, Revit",Git,"Attention to Detail, Creativity","SketchUp, BIM 360"
Smart City Architect,"Smart City Technology, Planning","GIS, AutoCAD",Git,"Critical Thinking, Communication","Power BI, Excel"
Architectural Technology Consultant,"Technology Consulting, Architecture","Revit, AutoCAD",Git,"Analytical Skills, Teamwork","Microsoft Project, Power BI"
Computational Geometry Specialist (Architecture),"Computational Geometry, Design","Rhino, Grasshopper",Git,"Creativity, Problem-solving","Revit, AutoCAD"
Architecture Software QA Engineer,"Quality Assurance, Software Testing","Selenium, JUnit",Git,"Attention to Detail, Analytical Skills","JIRA, Excel"
BIM Software Consultant,"BIM Consulting, Software Solutions","Revit, Navisworks",Git,"Problem-solving, Communication","BIM 360, AutoCAD"
Digital Building Architect,"Digital Building Technology, Design","Revit, BIM 360",Git,"Creativity, Teamwork","AutoCAD, SketchUp"
Architecture Project Control Software Specialist,"Project Control, Software Development","Primavera P6, MS Project",Git,"Analytical Skills, Communication","Excel, Power BI"
3D Printing Architect (Architecture),"3D Printing, Design","Revit, CAD Software",Git,"Creativity, Problem-solving","BIM 360, AutoCAD"
Architecture Workflow Management Engineer,"Workflow Management, Software Development","Trello, Asana",Git,"Leadership, Organization","Excel, Power BI"
Architecture Design Automation Engineer,"Design Automation, Software Development","Dynamo, Grasshopper",Git,"Creativity, Attention to Detail","Revit, AutoCAD"
GIS Architect (Architecture),"GIS, Architecture","ArcGIS, AutoCAD",Git,"Analytical Skills, Teamwork","Power BI, Excel"
Architectural Documentation Software Specialist,"Documentation, Software Development","MS Project, SharePoint",Git,"Organization, Communication","Excel, Power BI"
Architectural Engineering Software Developer,"Software Development, Engineering","C#, Java",Git,"Creativity, Problem-solving","Visual Studio, JIRA"
Automotive Design Engineer (CAD),"Automotive Design, CAD Software","SolidWorks, CATIA",Git,"Creativity, Problem-solving","ANSYS, MATLAB"
Vehicle Design Engineer (Software),"Vehicle Design, Software Development","C++, MATLAB",Git,"Analytical Skills, Communication","Visual Studio, JIRA"
Automotive CAD Engineer,"CAD Design, Automotive Engineering","SolidWorks, AutoCAD",Git,"Attention to Detail, Initiative","Fusion 360, Inventor"
Automotive Simulation Engineer,"Simulation, Automotive Engineering","ANSYS, MATLAB",Git,"Analytical Skills, Teamwork","Simulink, PTC Creo"
3D Automotive Design Engineer,"3D Modeling, Automotive Design","SolidWorks, CATIA",Git,"Creativity, Attention to Detail","BIM 360, Inventor"
Automotive Product Design Engineer,"Product Design, Automotive Engineering","SolidWorks, Pro/ENGINEER",Git,"Problem-solving, Communication","MATLAB, ANSYS"
Automotive Software Developer (Design),"Software Development, Automotive Design","C#, Python",Git,"Analytical Skills, Teamwork","Visual Studio, JIRA"
Automotive Body Design Engineer,"Body Design, CAD Software","SolidWorks, CATIA",Git,"Creativity, Attention to Detail","Inventor, ANSYS"
Powertrain Design Engineer,"Powertrain Systems, CAD Software","SolidWorks, MATLAB",Git,"Analytical Skills, Initiative","Fusion 360, Revit"
Automotive Interior Design Engineer,"Interior Design, CAD Software","AutoCAD, SolidWorks",Git,"Creativity, Communication","Revit, SketchUp"
Automotive Chassis Design Engineer,"Chassis Design, Automotive Engineering","SolidWorks, CATIA",Git,"Problem-solving, Teamwork","ANSYS, MATLAB"
Automotive Exterior Design Engineer,"Exterior Design, CAD Software","SolidWorks, CATIA",Git,"Creativity, Attention to Detail","Fusion 360, Inventor"
CAD/CAM Engineer (Automotive),"CAD/CAM, Automotive Design","Mastercam, SolidWorks",Git,"Analytical Skills, Problem-solving","Fusion 360, AutoCAD"
Automotive Structural Design Engineer,"Structural Design, Automotive Engineering","ANSYS, SolidWorks",Git,"Attention to Detail, Initiative","MATLAB, Inventor"
Automotive Design Automation Engineer,"Design Automation, CAD Software","SolidWorks, AutoCAD",Git,"Creativity, Problem-solving","Fusion 360, Revit"
Vehicle Dynamics Simulation Engineer,"Vehicle Dynamics, Simulation Software","MATLAB, Simulink",Git,"Analytical Skills, Communication","ANSYS, JIRA"
Automotive Component Design Engineer,"Component Design, CAD Software","SolidWorks, AutoCAD",Git,"Attention to Detail, Teamwork","Inventor, ANSYS"
Automotive CAE Engineer,"Computer-Aided Engineering, Automotive Design","ANSYS, SolidWorks",Git,"Analytical Skills, Problem-solving","MATLAB, JIRA"
Automotive Systems Design Engineer,"Systems Design, Automotive Engineering","MATLAB, Simulink",Git,"Creativity, Teamwork","ANSYS, Fusion 360"
Automotive Electronics Design Engineer,"Electronics Design, Automotive Engineering","Circuit Design, PCB Layout",Git,"Problem-solving, Initiative","Altium Designer, LTspice"
Automotive Design Software Specialist,"Software Development, Automotive Design","C#, Python",Git,"Analytical Skills, Communication","Visual Studio, JIRA"
Automotive Product Development Engineer,"Product Development, Automotive Engineering","SolidWorks, Pro/ENGINEER",Git,"Creativity, Problem-solving","ANSYS, MATLAB"
Automotive Styling Engineer (CAD),"Styling Design, CAD Software","SolidWorks, CATIA",Git,"Creativity, Attention to Detail","Fusion 360, SketchUp"
Automotive Assembly Design Engineer,"Assembly Design, Automotive Engineering","SolidWorks, AutoCAD",Git,"Problem-solving, Teamwork","Inventor, MATLAB"
Automotive Engineering Analyst (CAD),"Engineering Analysis, CAD Software","ANSYS, SolidWorks",Git,"Analytical Skills, Attention to Detail","MATLAB, JIRA"
Automotive Design Process Engineer,"Process Engineering, Automotive Design","SolidWorks, Pro/ENGINEER",Git,"Creativity, Initiative","Fusion 360, Revit"
Automotive Packaging Design Engineer,"Packaging Design, Automotive Engineering","AutoCAD, SolidWorks",Git,"Attention to Detail, Teamwork","Inventor, MATLAB"
Automotive Surface Modeling Engineer,"Surface Modeling, CAD Software","CATIA, SolidWorks",Git,"Creativity, Problem-solving","Fusion 360, JIRA"
Automotive Crashworthiness Engineer (Simulation),"Crashworthiness, Simulation Software","ANSYS, MATLAB",Git,"Analytical Skills, Communication","Simulink, PTC Creo"
Hybrid/Electric Vehicle Design Engineer,"Hybrid Vehicle Design, CAD Software","SolidWorks, MATLAB",Git,"Problem-solving, Initiative","Fusion 360, Revit"
Automotive FEA (Finite Element Analysis) Engineer,"Finite Element Analysis, CAD Software","ANSYS, SolidWorks",Git,"Analytical Skills, Attention to Detail","MATLAB, Inventor"
Vehicle Aerodynamics Engineer (CAD),"Aerodynamics, CAD Software","SolidWorks, ANSYS",Git,"Creativity, Teamwork","Fusion 360, Revit"
Vehicle Systems Integration Engineer (Software),"Systems Integration, Software Development","C++, Python",Git,"Analytical Skills, Communication","Visual Studio, JIRA"
Automotive Digital Design Engineer,"Digital Design, Automotive Engineering","C#, Python",Git,"Creativity, Problem-solving","Visual Studio, MATLAB"
Automotive Embedded Systems Design Engineer,"Embedded Systems, Automotive Engineering","C, C++",Git,"Analytical Skills, Initiative","Altium Designer, JIRA"
Automotive Design Validation Engineer,"Design Validation, Automotive Engineering","MATLAB, SolidWorks",Git,"Problem-solving, Teamwork","ANSYS, Fusion 360"
Automotive R&D Design Engineer,"Research and Development, Automotive Engineering","SolidWorks, Pro/ENGINEER",Git,"Creativity, Initiative","MATLAB, JIRA"
Automotive Suspension Design Engineer,"Suspension Design, CAD Software","SolidWorks, AutoCAD",Git,"Analytical Skills, Attention to Detail","Fusion 360, Revit"
Automotive HVAC System Design Engineer,"HVAC Design, Automotive Engineering","AutoCAD, SolidWorks",Git,"Problem-solving, Initiative","MATLAB, ANSYS"
Automotive Lightweight Design Engineer,"Lightweight Design, CAD Software","SolidWorks, ANSYS",Git,"Creativity, Teamwork","Fusion 360, JIRA"
Automotive Safety Systems Design Engineer,"Safety Systems, Automotive Engineering","ANSYS, SolidWorks",Git,"Analytical Skills, Problem-solving","MATLAB, Inventor"
Automotive Concept Design Engineer,"Concept Design, Automotive Engineering","SolidWorks, CATIA",Git,"Creativity, Initiative","Fusion 360, Revit"
Automotive Manufacturing Design Engineer (CAD),"Manufacturing Design, CAD Software","AutoCAD, SolidWorks",Git,"Attention to Detail, Teamwork","Inventor, MATLAB"
Automotive Seating Design Engineer,"Seating Design, CAD Software","SolidWorks, AutoCAD",Git,"Creativity, Problem-solving","Fusion 360, JIRA"
Automotive Thermal Systems Design Engineer,"Thermal Systems, Automotive Engineering","ANSYS, SolidWorks",Git,"Analytical Skills, Attention to Detail","MATLAB, Inventor"
Automotive BIW (Body in White) Design Engineer,"Body in White Design, CAD Software","SolidWorks, CATIA",Git,"Problem-solving, Initiative","Fusion 360, Revit"
Autonomous Vehicle Design Engineer (Software),"Autonomous Vehicle Design, Software Development","C++, Python",Git,"Analytical Skills, Teamwork","Visual Studio, JIRA"
Automotive Design Software Integration Specialist,"Software Integration, Automotive Design","API Development, Python",Git,"Creativity, Problem-solving","MATLAB, Fusion 360"
Automotive Drivetrain Design Engineer,"Drivetrain Design, CAD Software","SolidWorks, CATIA",Git,"Analytical Skills, Initiative","ANSYS, Inventor"
Automotive Mechatronics Design Engineer,"Mechatronics Design, Automotive Engineering","SolidWorks, MATLAB",Git,"Creativity, Teamwork","Fusion 360, Revit"
CAD Engineer (Mechanical),"CAD Design, Mechanical Engineering","AutoCAD, SolidWorks",Git,"Attention to Detail, Problem-solving","Inventor, CATIA"
Mechanical Design Engineer (CAD),"Mechanical Design, CAD Software","SolidWorks, AutoCAD",Git,"Creativity, Communication","Pro/ENGINEER, ANSYS"
CAD Software Developer,"Software Development, CAD Systems","C#, C++",Git,"Analytical Skills, Teamwork","Visual Studio, JIRA"
CAD Technician,"CAD Drafting, Design Support","AutoCAD, SolidWorks",Git,"Attention to Detail, Teamwork","Revit, SketchUp"
3D CAD Engineer,"3D Modeling, Mechanical Design","SolidWorks, CATIA",Git,"Creativity, Initiative","BIM 360, Inventor"
Mechanical CAD Specialist,"Mechanical CAD, Design Solutions","SolidWorks, AutoCAD",Git,"Problem-solving, Communication","Revit, Fusion 360"
CAD Drafter (Mechanical),"Drafting, Mechanical Design","AutoCAD, SolidWorks",Git,"Attention to Detail, Teamwork","Inventor, SketchUp"
Mechanical Engineering Designer,"Mechanical Design, CAD Software","SolidWorks, Pro/ENGINEER",Git,"Creativity, Communication","ANSYS, MATLAB"
CAD Software Engineer,"Software Engineering, CAD Development","C++, Python",Git,"Analytical Skills, Problem-solving","Visual Studio, JIRA"
CAD CAM Engineer,"CAD/CAM, Mechanical Design","Mastercam, SolidWorks",Git,"Attention to Detail, Initiative","Fusion 360, AutoCAD"
SolidWorks Engineer,"SolidWorks, 3D Modeling","SolidWorks, PDM",Git,"Creativity, Problem-solving","ANSYS, CAMWorks"
Mechanical Drafting Engineer,"Drafting, Mechanical Design","AutoCAD, SolidWorks",Git,"Attention to Detail, Teamwork","Inventor, SketchUp"
CAD Modeling Engineer,"Modeling, CAD Software","SolidWorks, CATIA",Git,"Creativity, Initiative","Fusion 360, Revit"
Mechanical Design Automation Engineer,"Design Automation, CAD Software","SolidWorks, AutoCAD",Git,"Problem-solving, Initiative","Revit, MATLAB"
Mechanical CAD Programmer,"CAD Programming, Design Automation","C++, Python",Git,"Analytical Skills, Attention to Detail","Visual Studio, Inventor"
CAD/CAE Engineer,"CAD/CAE, Mechanical Design","ANSYS, SolidWorks",Git,"Analytical Skills, Teamwork","MATLAB, Fusion 360"
CAD Systems Analyst,"Systems Analysis, CAD Software","AutoCAD, SolidWorks",Git,"Analytical Skills, Communication","JIRA, Power BI"
Mechanical Product Design Engineer,"Product Design, Mechanical Engineering","SolidWorks, Pro/ENGINEER",Git,"Creativity, Problem-solving","ANSYS, MATLAB"
CAD Applications Engineer,"Applications Support, CAD Software","AutoCAD, SolidWorks",Git,"Communication, Problem-solving","Inventor, Revit"
Piping Design Engineer (CAD),"Piping Design, CAD Software","AutoCAD Plant 3D, SolidWorks",Git,"Attention to Detail, Teamwork","BIM 360, CADWorx"
Mechanical Simulation Engineer (CAD),"Simulation, CAD Software","ANSYS, SolidWorks",Git,"Analytical Skills, Problem-solving","MATLAB, Inventor"
Automotive Design Engineer (CAD),"Automotive Design, CAD Software","CATIA, SolidWorks",Git,"Creativity, Initiative","Fusion 360, Revit"
CAD Software Integration Specialist,"Software Integration, CAD Systems","API Development, Python",Git,"Analytical Skills, Communication","Visual Studio, JIRA"
Tooling Design Engineer (CAD),"Tool Design, CAD Software","SolidWorks, AutoCAD",Git,"Creativity, Attention to Detail","Inventor, CAMWorks"
Mechanical CAD Trainer,"Training, CAD Software","AutoCAD, SolidWorks",Git,"Communication, Patience","PowerPoint, JIRA"
CAD Administrator (Mechanical),"CAD Management, Software Administration","AutoCAD, SolidWorks",Git,"Organization, Communication","Revit, Inventor"
CAD/CAM Programmer,"CAD/CAM Programming, Design","Mastercam, SolidWorks",Git,"Attention to Detail, Problem-solving","Fusion 360, AutoCAD"
Mechanical Component Designer (CAD),"Component Design, CAD Software","SolidWorks, AutoCAD",Git,"Creativity, Initiative","Inventor, ANSYS"
Manufacturing Design Engineer (CAD),"Manufacturing Design, CAD Software","AutoCAD, SolidWorks",Git,"Problem-solving, Teamwork","Fusion 360, Revit"
Mechanical Structural Designer (CAD),"Structural Design, CAD Software","AutoCAD, SolidWorks",Git,"Attention to Detail, Teamwork","Revit, SketchUp"
CAD Consultant (Mechanical),"Consulting, CAD Software","AutoCAD, SolidWorks",Git,"Analytical Skills, Communication","Microsoft Project, Power BI"
FEA (Finite Element Analysis) Engineer,"FEA, Simulation Software","ANSYS, SolidWorks",Git,"Analytical Skills, Attention to Detail","MATLAB, Inventor"
Mechanical CAD Quality Assurance Engineer,"Quality Assurance, CAD Software","SolidWorks, AutoCAD",Git,"Attention to Detail, Analytical Skills","JIRA, Excel"
Mechanical Design Automation Specialist,"Design Automation, CAD Software","SolidWorks, Revit",Git,"Creativity, Initiative","Fusion 360, Inventor"
3D CAD Modeling Specialist (Mechanical),"3D Modeling, Mechanical Design","SolidWorks, CATIA",Git,"Creativity, Attention to Detail","BIM 360, Revit"
Mechanical Process Design Engineer (CAD),"Process Design, CAD Software","AutoCAD, SolidWorks",Git,"Problem-solving, Teamwork","MATLAB, Revit"
Reverse Engineering Specialist (CAD),"Reverse Engineering, CAD Software","SolidWorks, CATIA",Git,"Analytical Skills, Problem-solving","Inventor, ANSYS"
CAD/CAM Simulation Engineer,"Simulation, CAD/CAM Software","Mastercam, SolidWorks",Git,"Analytical Skills, Creativity","Fusion 360, Revit"
CAD Design Manager (Mechanical),"Design Management, CAD Software","AutoCAD, SolidWorks",Git,"Leadership, Organization","Microsoft Project, Power BI"
Prototype Design Engineer (CAD),"Prototype Design, CAD Software","SolidWorks, 3D Printing",Git,"Creativity, Problem-solving","Fusion 360, Inventor"
Aerospace Design Engineer (CAD),"Aerospace Design, CAD Software","CATIA, SolidWorks",Git,"Attention to Detail, Initiative","ANSYS, MATLAB"
Mechanical CAD Workflow Automation Engineer,"Workflow Automation, CAD Software","SolidWorks, Revit",Git,"Analytical Skills, Problem-solving","Fusion 360, Inventor"
Mechanical Systems Design Engineer (CAD),"Systems Design, Mechanical Engineering","AutoCAD, SolidWorks",Git,"Creativity, Communication","MATLAB, Revit"
CAD Mechanical Engineer (R&D),"Research and Development, CAD Software","SolidWorks, AutoCAD",Git,"Problem-solving, Creativity","Inventor, JIRA"
Mechanical Engineering Analyst (CAD),"Engineering Analysis, CAD Software","ANSYS, SolidWorks",Git,"Analytical Skills, Attention to Detail","MATLAB, Excel"
3D Printing Design Engineer (CAD),"3D Printing, CAD Software","SolidWorks, AutoCAD",Git,"Creativity, Initiative","Fusion 360, Revit"
CAD Technician (Manufacturing),"Manufacturing, CAD Software","AutoCAD, SolidWorks",Git,"Attention to Detail, Teamwork","Inventor, SketchUp"
Sheet Metal Design Engineer (CAD),"Sheet Metal Design, CAD Software","AutoCAD, SolidWorks",Git,"Creativity, Problem-solving","Fusion 360, ANSYS"
Injection Molding Design Engineer (CAD),"Injection Molding, CAD Software","SolidWorks, AutoCAD",Git,"Attention to Detail, Teamwork","Inventor, CAMWorks"
CAD Automation Engineer (Mechanical),"Automation, CAD Software","Python, SolidWorks",Git,"Creativity, Problem-solving","Visual Studio, JIRA"
